State,Dollar_GDP
Connecticut,290703
Maine ,68985
Massachusetts ,603210
New Hampshire ,88015
Rhode Island ,62335
Vermont ,34320
Delaware ,77879
District of Columbia ,145278
Maryland ,432998
New Jersey,642968
New York,1791567
Pennsylvania ,818449
Illinois ,893356
Indiana,384872
Michigan ,543489
Ohio ,703369
Wisconsin ,353935
Iowa ,196247
Kansas,178605
Minnesota ,389504
Missouri ,332660
Nebraska,133201
North Dakota ,57472
South Dakota ,56052
Alabama ,230750
Arkansas,132596
Florida ,1126510
Georgia ,634138
Kentucky,218426
Louisiana ,259079
Mississippi ,117642
North Carolina ,601788
South Carolina ,251665
Tennessee ,380823
Virginia ,566529
West Virginia ,78480
Arizona ,379019
New Mexico,106914
Oklahoma,201604
Texas,1861582
Colorado ,400863
Idaho ,85791
Montana ,54035
Utah ,196639
Wyoming ,40764
Alaska ,54675
California ,3205000
Hawaii ,97001
Nevada,181752
Oregon ,258693
Washington,624861
